"LimesLimits_ID";"obsolete";"X_coordinate";"Y_coordinate";"Place";"Toponym";"Site_type";"Uncertain";"Start_period";"End_period";"Size";"Conservation";"Notes";"checked";"location_note"
29;0;188250;418450;"Katwijk";"Spoorlijn";"road?";1;"ROM";"ROM";;;;1;
30;0;188440;418700;"Mook";"Spoorbrug";"burial(s)";0;"ROMV";"ROMM";;;"finds dated approx. 0 - 275 AD (Willems 1986)";1;
31;0;188860;418380;"Mook";"Middelweerd";"rural settlement";0;"ROMV";"ROMM";"15 x 10 m";;;1;
32;0;174300;416175;"Schaijk";"Gaalse Heide";"burial(s)";0;"ROMVB";"ROMMB";;;"> 70 cremation burials dated approx 50 - 225 AD (Willems 1986); also PALEO/MESO, IJZ and VME/LME site";1;
33;0;173600;416800;"Schaijk";"Kleefsestraat";"rural settlement";0;"IJZL";"VMEA";;;"also PALEO and VME/LME site";1;
34;0;174100;416850;"Schaijk";"Gaal";"rural settlement";0;"IJZL";"ROM";;;"habitation dated ROMM (Verwers 1999); Vossen includes Archis-waarnemingsnummer 14461 and 38900, but these are located at coordinate 173320/416500";1;
35;0;172370;422570;"Ravenstein";"Burgemeester van der Wielstraat";"rural settlement";0;"ROMV";"ROMM";;;;1;
36;0;172800;423450;"Ravenstein";"Hogeveld";"rural settlement";0;"IJZL";"ROMM";;;"habitation dated approx. 200 BC - 300 AD (Modderman 1950)";1;
37;0;171650;423750;"Deursen";"Het Steenwerk";"rural settlement; burial(s)";0;"IJZL";"ROMM";"350 x 150 m";;"habitation dated approx. 250 BC - 275 AD (Willems 1986); > 700 burials, possibly only IJZL?; also VME site";1;
38;0;170950;423850;"Deursen";"Dennenburg";"rural settlement";0;"IJZL";"ROML";;;"habitation dated approx. 250 BC - 425 AD (Willems 1986); also VME burial site";1;
39;0;170600;423900;"Deursen";"De Woerden";"rural settlement";0;"IJZL";"ROMM";;;"habitation dated approx. 250 BC - 275 AD (Willems 1986); also BRONSL/IJZV and LME site";1;
40;0;170100;422950;"Deursen";"Onze Lieve Vrouwenberg";"rural settlement";0;"IJZL";"ROMM";"250 x 150 m";;"habitation dated approx. 250 BC - 275 AD (Willems 1986); also MESO/NEO and VME site";1;
41;0;170450;422400;"Deursen";"Bendelaar";"rural settlement";0;"IJZL";"ROMV";;;"possibly only IJZL habitation?";1;
42;0;174600;422100;"Neerloon";"Kalfsheuvel";"rural settlement";0;"IJZL";"ROM";;;"habitation dated ROMM (Verwers 1999); also VME/LME site";1;
43;0;167200;415200;"Nistelrode";"Vorssel I";"rural settlement";0;"IJZL";"ROMM";;;"habitation dated approx. 250 BC - 275 BC (Willems 1986); also BRONS and VME/LME site";1;
44;0;167550;415200;"Nistelrode";"Vorssel II";"rural settlement";0;"IJZL";"ROMM";;;"habitation dated ROMM (Verwers 1999); also BRONSM and IJZ site";1;
45;0;168840;416120;"Schaijk";"Mun";"rural settlement";0;"ROM";"ROM";;"destroyed";"also VME/LME site";1;
46;1;164950;415250;"Heesch";"Hoge Wijst";"isolated find(s)";0;"ROM";"ROM";;;;1;
47;0;165000;416800;"Heesch";"A59";"rural settlement";0;"IJZL";"ROM";;"destroyed";"possibly only IJZL habitation? Also LME site";1;
48;0;163600;416600;"Heesch";"Broekhoek I";"rural settlement";0;"ROMM";"ROMM";;;"also IJZ and VME/LME site";1;
49;0;161950;413280;"Vinkel";"Munnekens";"rural settlement";0;"IJZM";"ROM";;;"predominantly IJZ habitation; also LME site";1;
50;0;160850;413050;"Vinkel";"Sportpark";"rural settlement";0;"IJZL";"ROMM";;;;1;
51;0;167250;413250;"Nistelrode";"Boekweitstraat";"burial(s)?";0;"IJZ";"ROM";;;;1;
52;0;162480;420060;"Oss";"Ussen I";"rural settlement";0;"ROMVA";"ROMMB";"500 x 350 m";;"habitation dated approx. 0 - 225 AD (van der Sanden & van den Broeke 1987)";1;
53;0;162360;419300;"Oss";"Zomerhof";"rural settlement";0;"ROMMA";"ROMMB";"125 x 125 m";;"habitation dated approx. 70 - 200 AD (van der Sanden & van den Broeke 1987)";1;
54;0;163050;420220;"Oss";"Westerveld";"rural settlement";0;"IJZL";"ROMMB";"330 x 250 m";;"habitation dated approx. 100 BC - 225 AD (van der Sanden & van den Broeke 1987); also IJZM site";1;
55;0;163350;420800;"Oss";"Schalkskamp";"rural settlement";0;"IJZL";"ROMV";"2.6 ha";;"also BRONSV/BRONSM and BRONSL/IJZV site";1;
56;0;162850;419520;"Oss";"Ussen II";"burial(s)";0;"IJZL";"ROMMB";;;"> 200 cremation burials, dated approx. 200 BC - 200 AD (van der Sanden & van den Broeke 1987)";1;
57;0;164740;420780;"Oss";"Horzak I";"rural settlement";0;"IJZL";"ROMM";;;"very close to site 58, possibly one settlement";1;
58;0;165100;420950;"Oss";"Horzak II";"rural settlement; burial(s)";0;"IJZL";"ROMM";;;"habitation dated approx. 150 BC - 250 AD; 27 cremation burials dated approx. 100 - 225 AD (Jansen & Fokkens 2002); very close to site 57, possibly one settlement";1;
59;0;165830;421100;"Oss";"IJsselstraat";"rural settlement";0;"ROMVB";"ROMMB";;;"habitation dated approx. 50  - 250 AD (Wesselingh 1993); also NEOL/BRONSM site and IJZV/IJZM burial site";1;
60;0;163660;420220;"Oss";"Zaltbommelseweg";"rural settlement";0;"ROMV";"ROMM";;;"habitation dated approx. 0 - 250 AD (Wesselingh 2000); also IJZV/IJZL site; no associated Archis-waarnemingsnummer";1;
61;0;164500;420300;"Oss";"Eikenboomgaard";"rural settlement";0;"ROMV";"ROML";;;"habitation dated approx. 0 - 400 AD (Wesselingh 2000); also IJZ and VME/LME site";1;
62;1;163800;420900;"Oss";"Mettegeupel";"off-site structures";0;"ROM";"ROM";;;;1;
63;0;169950;424050;"Deursen";"De Pas";"rural settlement";0;"IJZL";"ROMM";"100 x 100 m";;"habitation dated ROMM (Verwers 1999)";1;
64;1;168850;424500;"Megen";"Laagpolder";"isolated find(s)";0;"IJZL";"ROMV";;;;1;
65;0;168760;423440;"Haren";"Dorp";"rural settlement";0;"IJZL";"ROML";"600 x 200 m";;"habitation dated approx. 250 BC - 425 AD (Willems 1986); also VME/LME site";1;
66;0;168180;423760;"Haren";"Berksestraat";"rural settlement";0;"IJZL";"ROMV";"125 x 125 m";;"habitation dated approx. 250 BC - 100 AD (Willems 1986); also VME site";1;
67;0;169800;422650;"Deursen";"Avenduur";"rural settlement";0;"IJZL";"ROMM";;;"very close to site 68, possibly one settlement";1;
68;0;169500;422400;"Ravenstein";"Stijbeemden";"rural settlement?";1;"IJZL";"ROMV";;;"IJZ site with little evidence for ROMV occupation; very close to site 67, possibly one settlement";1;
69;0;168550;422800;"Haren";"Spaanse Steeg";"rural settlement; cult site?";0;"IJZM";"ROMM";;;"habitation dated approx. 500 BC - 275 AD (Willems 1986); also PALEO/MESO/NEO and BRONS site";1;
70;0;167950;422050;"Berghem";"Lallenberg I";"rural settlement; burial(s)";0;"IJZL";"ROMM";;;"habitation dated approx. 250 BC - 275 AD; single burial dated approx. 175 - 275 AD (Willems 1986); also VME (burial?) site";1;
71;1;167960;422260;"Berghem";"Lallenberg II";"burial(s)";0;"ROMM";"ROMM";;;"= site 70";1;
72;0;167650;422700;"Berghem";"In het Broek";"rural settlement";0;"IJZL";"ROMM";;;"also NEO, IJZ and VME site";1;
73;0;167250;422800;"Berghem";"Broekstraat";"rural settlement";0;"IJZL";"ROMM";;;"also NEO and VME site";1;
74;0;166800;423050;"Berghem";"Het Winkel";"rural settlement";0;"IJZL";"ROMM";;;"habitation dated approx. 250 BC - 275 AD (Willems 1986); also NEO site; possibly IJZL glass kiln?";1;
75;0;166150;423400;"Macharen";"Harense Broek I";"rural settlement";0;"IJZL";"ROML";"500 x 100 m";;"habitation dated approx. 250 BC - 275 AD (Willems 1986); also NEO, IJZ and VME site; very close to site 2165, possibly one settlement?";1;
76;0;165900;424050;"Macharen";"Dorp";"rural settlement";0;"ROMM";"ROMM";"500 x 200 m";;"also NEOL, IJZ and VME/LME site";1;
77;0;165150;423100;"Macharen";"Hoogoord";"rural settlement";0;"IJZL";"ROMM";;;"also IJZ and VME/LME site";1;
79;0;163100;424550;"Oijen";"De Lange Maaijen";"rural settlement";0;"IJZL";"ROMM";;;"also VMEA/VMEB site";1;
80;0;162750;424700;"Oijen";"Klootskamp I";"rural settlement; burial(s)?";0;"IJZL";"ROML";;;"also VME/LME site";1;
81;0;162400;424720;"Oijen";"Klootskamp II";"burial(s)";0;"ROMMA";"ROMMA";;;;1;
82;0;162500;423350;"Teeffelen";"De Honig";"rural settlement; burial(s)?";0;"IJZL";"ROML";"150 x 150 m";;"also MESO/NEO, BRONSL/IJZV and VME/LME site";1;
83;0;162750;422600;"Teeffelen";"Weteringstraat";"rural settlement";0;"IJZL";"ROML";"150 x 70 m";;"also IJZ and VME/LME site; very close to site 84, possibly one settlement";1;
84;0;162700;422950;"Teeffelen";"Rotsestraat";"rural settlement";0;"IJZL";"ROML";"100 x 50 m";;"habitation dated ROMM (Verwers 1999); very close to site 83, possibly one settlement";1;
85;0;162500;422230;"Teeffelen";"John F. Kennedylaan";"burial(s)";0;"IJZ";"ROM";;;;1;
86;0;161850;422500;"Teeffelen";"De Kampen";"rural settlement";0;"IJZL";"ROMM";;;"also LME site";1;
87;1;162150;422300;"Teeffelen";"Kneuterkens";"rural settlement";0;"IJZ";"IJZ";;;"not a ROM site";1;
88;0;164800;424550;"Oijen";"Sterrebosch";"rural settlement?";1;"ROM";"ROM";;;;1;
89;0;162950;420500;"Oss";"Kraaijenest";"burial(s)";0;"IJZL";"ROMV";;;;1;
90;0;169000;421900;"Duurendseind";"Waterstraat";"rural settlement?";1;"IJZL";"ROM";"100 x 100 m";;"also NEOL, BRONS and VME site";1;
91;0;169900;421100;"Berghem";"Waatselaar";"rural settlement";0;"IJZL";"ROMM";;;"also NEOL and BRONSM site";1;
92;0;153250;414800;"Rosmalen";"Nieuwendijk";"rural settlement";0;"IJZL";"ROMM";;;"predominantly IJZL habitation; also VME/LME site";1;
93;0;150070;414800;"Empel";"De Donk";"rural settlement";0;"IJZL";"ROMM";;;"also VME/LME site";1;
94;0;149725;416150;"Empel";"De Werf";"cult site";0;"IJZL";"ROMM";"50 x 54 m";;"IJZL cult place, Gallo-Roman stone-built temple dated approx. 70 - 235 AD; some evidence for ROML re-use (Roymans & Derks 1994); also IJZM and VME/LME site";1;
95;0;150250;415500;"Empel";"Het Slot";"rural settlement";0;"ROM";"ROM";"100 x 75 m";;"also NEO and VME/LME site";1;
96;0;149860;415420;"Empel";"De Schaapskooi";"rural settlement";0;"IJZL";"ROML";;;"also VME/LME site";1;
97;0;150200;414100;"'s-Hertogenbosch";"De Reit";"rural settlement";0;"ROM";"ROM";;;;1;
98;1;151300;417600;"Empel";"Koornwaard";"isolated find(s)";0;"ROM";"ROM";;;"also PALEOM site";1;
99;0;148300;415500;"'s-Hertogenbosch";"Maaspoort";"rural settlement";0;"IJZ";"ROM";;;;1;
100;0;148750;415750;"Empel";"De Laren";"rural settlement?";1;"ROM";"ROM";;;;1;
101;0;146725;414125;"Engelen";"De Beemd";"rural settlement";0;"ROMM";"ROMM";;;"also IJZ and VME/LME site";1;
102;0;158250;422800;"Lith";"Tussen de Stegen";"rural settlement";0;"IJZL";"ROMM";;;"habitation dated approx. 0 - 300 AD (Beex 1973)";1;
103;0;157475;422700;"Lith";"Over de Uitslagersteeg";"rural settlement";0;"IJZL";"ROMV";;;"possibly only IJZL";1;
104;0;159150;423500;"Lith";"Valkse Weg";"rural settlement";0;"IJZL";"ROML";;;"habitation dated ROMV - ROML (Verwers 1999); also VME site";1;
105;0;158610;424325;"Lith";"Dorp";"rural settlement";0;"ROMV";"VMEA";"500 x 120 m";;"also VME/LME site";1;
106;0;160300;423650;"Lithoijen";"Dorp";"rural settlement";0;"IJZL";"ROMM";;;"also LME site";1;
107;0;155100;424100;"Kessel";"Kesselse Waarden I";"cult site";0;"IJZL";"ROML";;;"'large ritual find complex in IJZL river channel'; original site of temple at site 108? Finds dredged, not in context  (Roymans 2004); also VME/LME site";1;
108;0;155750;424350;"Kessel";"Kesselse Waarden II";"castellum?";0;"ROMLB";"ROMLB";;;"castellum built with materials from temple, dated approx. 350 - 400 AD; temple dated approx. 50 - 125 AD, originally located at site 107?; finds dredged, not in context (Roymans 2004); also VME/LME site";1;
109;0;166850;425750;"Megen";"De Hoge Hof I";"rural settlement";0;"IJZL";"ROML";"100 x 100 m";;"habitation dated approx. 250 BC - 275 AD (Willems 1986); also IJZ and VME/LME site";1;
110;0;140190;449190;"Houten";"Molenzoom";"rural settlement, stone-built";0;"IJZL";"ROMMB";"large";;"habitation dated approx. 50 BC - 200 AD; stone building dated approx. 100 - 200 AD (Vos 2009)";1;
111;0;139500;448750;"Houten";"Burgemeester Wallerweg";"rural settlement, stone-built; burial(s)";0;"IJZM";"ROMMB";"large";;"burials dated IJZL(-ROMV); stone building dated approx. 175 - 300 AD (Vos 2009)";1;
112;0;139130;448760;"Houten";"Tiellandt";"rural settlement; burial(s)";0;"IJZM";"LME";"small";;"burials dated IJZL and ROMM; ROML continuity of habitation uncertain";1;
113;0;138190;449200;"Houten";"Wulven";"rural settlement, stone-built?; burial(s)";0;"ROMV";"ROMMB";"small";;"habitation dated approx. 0 - 225 AD (Vos 2009); some evidence for a stone building, but no foundations found; cemetery to the south of settlement, also burials inside settlement";1;
114;0;148300;440000;"Beusichem";"Pietersteeg";"rural settlement";0;"ROMV";"ROML";;;;1;
115;0;147760;440140;"Beusichem";"De Ronde";"rural settlement";0;"ROMV";"ROMM";;;;1;
116;0;148170;440570;"Beusichem";"Lekdijk Oost";"rural settlement?";1;"ROMM";"ROMM";;;"no associated Archis-waarnemingsnummer";1;
117;0;148240;436830;"Buurmalsen";"Hooge Veld";"rural settlement";0;"ROM";"ROM";;;;1;
118;0;153450;435400;"Erichem";"Hooge Korn";"rural settlement";0;"IJZL";"ROML";"145 x 70 m";;"habitation dated approx. 75 - 125 AD (Modderman 1949); also VME site";1;
119;1;150640;434000;"Buren";"Lingeveld";"rural settlement";0;"IJZL";"IJZL";;;"not a Roman settlement!";1;
120;0;152150;435935;"Buren";"De Blooten";"rural settlement";0;"ROMV";"ROMM";;;"also VME / LME site";1;
121;0;151125;433600;"Buren";"Burensewal";"rural settlement?";1;"ROMM";"ROML";;;"only metal finds; very close to site 2187, possibly one settlement?";1;
122;0;150150;435950;"Buren";"Hennisdijk";"rural settlement";0;"ROMV";"ROML";;;"also IJZM and VME site";1;
124;0;146590;440390;"Beusichem";"Ringelpoel";"rural settlement";0;"ROMV";"ROMM";;;;1;
125;0;145900;440780;"Culemborg";"Weidsteeg";"rural settlement?";1;"ROMM";"ROMM";;;"no associated Archis-waarnemingsnummer";1;
126;0;144710;432710;"Deil";"Oude Wetering";"rural settlement";0;"ROMV";"ROMM";;;;1;
127;0;144620;433540;"Deil";"Waardsche Blok I";"rural settlement?";1;"ROMM";"ROMM";;;"no associated Archis-waarnemingsnummer; very close to site 130, possible one settlement";1;
128;0;144700;432400;"Deil";"Bunnekheuvel";"rural settlement?";1;"ROMM";"ROMM";;;"no associated Archis-waarnemingsnummer";1;
129;0;145470;431820;"Deil";"Hooiweg";"rural settlement";0;"ROMV";"ROMM";;;;1;
130;1;144420;433530;"Deil";"Waardsche Blok II";"isolated find(s)";1;"ROM";"ROM";;;"very close to site 127, possibly one settlement";1;
131;0;160950;436120;;"De Wilmert I";"rural settlement";0;"ROMV";"ROML";;;"Archis-waarnemingsnummer 21341, 22950, 23001, 23002, 23005 and 23006 removed from Archis";1;
132;0;160200;436150;"Echteld";"Oude Weiden";"rural settlement, stone-built";0;"IJZL";"ROML";"350 x 200 m";;"habitation dated approx. 50 - 225 AD (De Wit 2011); also VME/LME site";1;
133;0;162630;436000;"Echteld";"Voorstraat";"rural settlement";0;"ROMM";"ROMM";;;;1;
134;0;159480;435680;"Medel";"Rotonde";"rural settlement, stone-built?";0;"ROMVA";"ROMLA";;;"habitation dated approx. 0 - 300 AD; stone-built phase approx. 100 - 200 AD (Heeren 2005); very close to site 2067, possibly one settlement";1;
135;1;159860;442120;"Eck en Wiel";"De Kamp";"isolated find(s)";0;"IJZL";"ROMM";;;"very close to site 557, possibly one settlement?";1;
136;0;142780;431280;"Enspijk";"Oude Weische Blok";"rural settlement";0;"ROMV";"ROMM";;;;1;
137;1;153040;434820;"Erichem";"De Geer";"isolated find(s)?";1;"ROM";"ROM";;;"very close to site 138, 139 and 140, possibly one settlement";1;
138;0;152970;434340;"Erichem";"De Vinkenbuurt";"rural settlement";0;"ROMM";"ROML";;;"very close to site 137, 139 and 140, possibly one settlement";1;
139;1;152820;434490;"Erichem";"Binnenstraat";"isolated find(s)";0;"ROMV";"ROMM";;;"very close to site 137, 138 and 140, possibly one settlement; only metal finds, also VME";1;
140;0;153220;434650;"Erichem";"Vergarde";"rural settlement";0;"IJZL";"ROML";;;"very close to site 137, 138 and 139, possibly one settlement; habitation dated approx. 75 - 200 AD (Modderman 1949); also VME-LME site";1;
141;1;153220;434790;"Erichem";"Schaapsweide";"isolated find(s)";1;"ROMV";"ROMM";;;"= same as site 140, no associated Archis-waarnemingsnummer";1;
142;0;150200;429500;"Est";"Rondweg";"rural settlement";0;"ROMV";"ROMM";;;"also LME site";1;
143;1;150100;429290;"Est";"Oudenhof";"rural settlement";0;"ROMM";"ROMM";;;"= site 142; Archis-waarneming 16797 removed from Archis";1;
144;1;150670;428670;"Est";"Elzevierstraat";"isolated find(s)";0;"ROMM";"ROMM";;;;1;
147;0;149640;428500;"Est";"Zwart van Honger";"rural settlement?";1;"ROM";"ROM";;;"no associated Archis-waarnemingsnummer";1;
148;0;150070;429030;"Est";"De Riegert";"rural settlement";0;"ROMM";"ROMM";;;;1;
149;1;148000;433480;"Geldermalsen";"Murman";"isolated find(s)";1;"IJZL";"ROMV";;;"no associated Archis-waarnemingsnummer";1;
150;0;147850;432150;"Geldermalsen";"Binnenveld";"rural settlement";0;"IJZL";"ROM";"350 x 300 m";;"also IJZM and VME/LME site; very close to site 341 and 345, possibly one settlement?";1;
151;0;142420;430740;"Gellicum";"Boutenstein II";"burial(s)";0;"ROMV";"ROMM";;;;1;
152;0;154780;433480;"Kapel-Avezaath";"Bergakker Noord";"rural settlement; burial(s)";0;"IJZL";"ROMM";"100 x 90 m";;"single burial dated ROMM = site 153; very close to site 299, possibly one settlement?";1;
153;1;154680;433500;"Kapel-Avezaath";"Haagse Bogerd";"burial(s)";0;"ROMM";"ROMM";;;"= single burial at site 152";1;
154;1;152470;432960;"Kapel-Avezaath";"De Troostakkers";"isolated find(s)";1;"ROMV";"ROMV";"185 x 140 m";;"only metal finds";1;
155;0;154330;432580;"Kapel-Avezaath";"Hoge Hof";"rural settlement";0;"ROMM";"ROML";;;"also VME site";1;
158;0;155570;435250;"Kerk-Avezaath";"Beemdsestraat";"rural settlement";0;"ROMM";"ROMM";;;"very close to site 161, possibly one settlement; also LME site";1;
160;1;155020;435650;"Kerk-Avezaath";"Nieuwe Tiend";"isolated find(s)";0;"ROM";"ROM";;;;1;
161;0;155180;434880;"Kerk-Avezaath";"Heuvelakker I";"rural settlement";0;"ROMV";"ROML";;;"very close to site 158, possibly one settlement; habitation dated approx. 100 - 200 AD (Modderman 1949)";1;
162;1;154400;436090;"Kerk-Avezaath";"Korenbroek I";"isolated find(s)";0;"ROM";"ROM";;;"very close to site 163, possibly one settlement";1;
163;0;154590;436160;"Kerk-Avezaath";"Korenbroek II";"rural settlement";0;"ROM";"ROM";"very small";;;1;
164;1;154500;433750;"Kerk-Avezaath";"De Weem";"isolated find(s)";0;"ROM";"ROM";;;;1;
165;1;154150;433900;"Kerk-Avezaath";"Wolfsbouwing";"isolated find(s)";0;"ROM";"ROM";;;;1;
166;1;154920;432500;"Kerk-Avezaath";"Bos";"isolated find(s)";0;"IJZL";"IJZL";;;;1;
167;1;155030;434510;"Kerk-Avezaath";"Heuvelakker II";"isolated find(s)";1;"IJZL";"ROMV";;;;1;
168;1;155590;434710;"Kerk-Avezaath";"Den Ham I";"rural settlement";0;"ROMMA";"ROMMB";;;"habitation dated approx. 100 - 200 AD (Modderman 1949); same as sites 178 and 295";1;
169;0;153990;434900;"Kerk-Avezaath";"Het Bosje";"rural settlement";0;"ROMM";"ROML";"110 x 55 m";;"also VME site; very close to site 171, possibly one settlement";1;
170;1;153980;434760;"Kerk-Avezaath";"De Leute";"isolated find(s)";0;"ROMM";"ROMM";;;"= site 169";1;
171;1;155020;433510;"Kerk-Avezaath";"De Voorste Gein";"isolated find(s)";0;"ROMM";"ROMM";;;;1;
173;1;155890;433290;"Kerk-Avezaath";"Hamsche Bouwing";"isolated find(s)";0;"ROM";"ROM";;;;1;
174;0;154150;435520;"Kerk-Avezaath";"Het Hamperk";"rural settlement";0;"ROMV";"VME";;;"very close to site 175, possibly one settlement";1;
175;0;153970;435760;"Kerk-Avezaath";"Ambtsperk";"rural settlement; burial(s)?";0;"ROMV";"ROMM";;;"very close to site 174, possibly one settlement";1;
177;1;154170;434910;"Kerk-Avezaath";"De Voorste Leute";"isolated find(s)";0;"ROM";"ROM";;;"= site 169; no associated Archis-waarnemingsnummer";1;
178;1;155660;434450;"Kerk-Avezaath";"Den Ham II";"isolated find(s)";0;"ROMV";"ROML";;;"same as site 168; Archis-waarnemingsnummer 21406 relocated by Vossen, also registered as site 530";1;
179;0;154110;434520;"Kerk-Avezaath";"Teisterband";"rural settlement";0;"ROMM";"ROMM";;;"very close to site 169, possibly one settlement";1;
181;0;165150;438150;"Lienden";"Boutenburg I";"rural settlement";0;"ROMV";"ROML";;;"habitation dated approx. 75  - 300 AD (Modderman 1949, Archis-waarnemingsnummer 42530); very close to site 1135 and 1136, possibly one settlement?";1;
182;0;163600;439050;"Lienden";"Hoogmeien";"rural settlement";0;"ROMV";"ROMM";;;;1;
183;1;162600;437280;"Lienden";"Vogelezang";"isolated find(s)";0;"ROM";"ROM";;;"no associated Archis-waarnemingsnummer";1;
186;0;157470;442550;"Maurik";"Eiland van Maurik";"castellum?; civil settlement?";1;"ROMMA";"ROMMB";;;"Mannaricium?; castellum dated approx. 70 - 275 AD (Haalebos 1976; 1986); also VME cemetery";1;
187;0;158950;440500;"Maurik";"Zwarte Paard";"rural settlement";0;"IJZL";"ROML";"large";;"also VME site; central coordinate should be moved to the west? evidence for weapon production";1;
188;1;147600;431160;"Meteren";"Bredestraat";"isolated find(s)";0;"IJZL";"ROML";;;;1;
189;1;147370;432690;"Meteren";"Dalemse Wetering";"isolated find(s)";0;"IJZL";"ROMV";;;;1;
191;0;162480;439020;"Ommeren";"Hoogmeien";"rural settlement";0;"ROMM";"ROMM";;;;1;
